SCRIP CODE,SCRIP ID,SCRIP NAME
,MVKAGRO,M.V.K. Agro Food Product Limited
,PURVFLEXI,Purv Flexipack Limited
,OWAIS,Owais Metal And Mineral Processing Limited
,SADHAV,Sadhav Shipping Limited
,DEEM,Deem Roll Tech Limited
,ZENITHDRUG,Zenith Drugs Limited
,INM,Interiors & More Limited
,TCL,Thaai Casting Limited
,ATMASTCO,Atmastco Limited
,ESCONET,Esconet Technologies Limited
,WTICAB,Wise Travel India Limited
,POLYSIL,Polysil Irrigation Systems Limited
,ALPEXSOLAR,Alpex Solar Limited
,ITALIANE,Italian Edibles Limited
,BAWEJA,Baweja Studios Limited
,MEGATHERM,Megatherm Induction Limited
,DHTL,Docmode Health Technologies Limited
,FONEBOX,Fonebox Retail Limited
,DELAPLEX,Delaplex Limited
,ADDICTIVE,Addictive Learning Technology Limited
,KONSTELEC,Konstelec Engineers Limited
,MAXPOSURE,Maxposure Limited
,APS,Australian Premium Solar (India) Limited
,IBLFL,IBL Finance Limited
,KLL,Kaushalya Logistics Limited
,KCEIL,Kay Cee Energy & Infra Limited
,AKANKSHA,Akanksha Power and Infrastructure Limited
,HRHNEXT,HRH Next Services Limited
,SAIFL,Sameera Agro And Infra Limited
,INDIFRA,Indifra Limited
,TECHLABS,Trident Techlabs Limited
,SUPREMEPWR,Supreme Power Equipment Limited
,EFORCE,Electro Force (India) Limited
,SHREEOSFM,Shree OSFM E-Mobility Limited
,SJLOGISTIC,S J Logistics (India) Limited
,PRESSTONIC,Presstonic Engineering Limited
,ACCENTMIC,Accent Microcell Limited
,GRAPHISAD,Graphisads Limited
,SHEETAL,Sheetal Universal Limited
,CBAZAAR,Net Avenue Technologies Limited
,MARINETRAN,Marinetrans India Limited
,ROCKINGDCE,Rockingdeals Circular Economy Limited
,SUNREST,Sunrest Lifescience Limited
,ROXHITECH,Rox Hi Tech Limited
,BABAFP,Baba Food Processing (India) Limited
,MICROPRO,Micropro Software Solutions Limited
,SARTELE,Sar Televenture Limited
,MAITREYA,Maitreya Medicare Limited
,TRANSTEEL,Transteel Seating Technologies Limited
,PARAGON,Paragon Fine and Speciality Chemical Limited
,SHANTHALA,Shanthala FMCG Products Limited
,ONDOOR,On Door Concepts Limited
,RCDL,Rajgor Castor Derivatives Limited
,WOMANCART,Womancart Limited
,ARVINDPORT,ARVIND PORT AND INFRA LIMITED
,COMMITTED,Committed Cargo Care Limited
,PLADAINFO,Plada Infotech Services Limited
,KARNIKA,Karnika Industries Limited
,SCML,Sharp Chucks and Machines Limited
,CANARYS,Canarys Automations Limited
,GOYALSALT,Goyal Salt Limited
,OLIL,Oneclick Logistics India Limited
,KONTOR,Kontor Space Limited
,VISHNUINFR,Vishnusurya Projects and Infra Limited
,EFACTOR,E Factor Experiences Limited
,ARABIAN,Arabian Petroleum Limited
,VINYAS,Vinyas Innovative Technologies Limited
,INSPIRE,Inspire Films Limited
,NEWJAISA,Newjaisa Technologies Limited
,MAL,Mangalam Alloys Limited
,DIGIKORE,Digikore Studios Limited
,SAAKSHI,Saakshi Medtech and Panels Limited
,MASTER,Master Components Limited
,HIGREEN,Hi-Green Carbon Limited
,MARCO,Marco Cables & Conductors Limited
,CELLECOR,Cellecor Gadgets Limited
,KODYTECH,Kody Technolab Limited
,MADHUSUDAN,Madhusudan Masala Limited
,KEL,Kundan Edifice Limited
,CHAVDA,Chavda Infra Limited
,HOLMARC,Holmarc Opto-Mechatronics Limited
,UNIHEALTH,Unihealth Hospitals Limited
,JIWANRAM,Jiwanram Sheoduttrai Industries Limited
,PRAMARA,Pramara Promotions Limited
,SAROJA,Saroja Pharma Industries India Limited
,BASILIC,Basilic Fly Studio Limited
,CPS,C P S Shapers Limited
,MONOPHARMA,Mono Pharmacare Limited
,SAHAJ,Sahaj Fashions Limited
,SEL,Sungarner Energies Limited
,CLSL,Crop Life Science Limited
,SSFL,Srivari Spices And Foods Limited
,YUDIZ,Yudiz Solutions Limited
,SANGANI,Sangani Hospitals Limited
,ORIANA,Oriana Power Limited
,VINSYS,Vinsys IT Services India Limited
,ZEAL,Zeal Global Services Limited
,SHRITECH,Shri Techtex Limited
,YCCL,Yasons Chemex Care Limited
,SERVICE,Service Care Limited
,DRONE,Drone Destination Limited
,SYNOPTICS,Synoptics Technologies Limited
,TRIDHYA,Tridhya Tech Limited
,GLOBALPET,Global Pet Industries Limited
,PENTAGON,Pentagon Rubber Limited
,MAGSON,Magson Retail And Distribution Limited
,ESFL,Essen Speciality Films Limited
,GREENCHEF,Greenchef Appliances Limited
,AATMAJ,Aatmaj Healthcare Limited
,VILINBIO,Vilin Bio Med Limited
,CELLPOINT,Cell Point (India) Limited
,URBAN,Urban Enviro Waste Management Limited
,SPECTSTM,Spectrum Talent Management Limited
,KDL,Kore Digital Limited
,SAHANA,Sahana System Limited
,INFOLLION,Infollion Research Services Limited
,PROV,Proventus Agrocom Limited
,CRAYONS,Crayons Advertising Limited
,DENTALKART,Vasa Denticity Limited
,REMUS,Remus Pharmaceuticals Limited
,KRISHCA,Krishca Strapping Solutions Limited
,AUROIMPEX,Auro Impex  & Chemicals Limited
,DENEERS,De Neers Tools Limited
,QUICKTOUCH,Quicktouch Technologies Limited
,AGUL,A G Universal Limited
,PATTECH,Pattech Fitwell Tube Components Limited
,MOS,Mos Utility Limited
,INFINIUM,Infinium Pharmachem Limited
,SOTAC,Sotac Pharmaceuticals Limited
,NIRMAN,Nirman Agri Genetics Limited
,QFIL,Quality Foils (India) Limited
,VELS,Vels Film International Limited
,MCON,Mcon Rasayan India Limited
,SYSTANGO,Systango Technologies Limited
,VERTEXPLUS,Vertexplus Technologies Limited
,SRIVASAVI,Srivasavi Adhesive Tapes Limited
,VIAZ,Viaz Tyres Limited
,AGARWALFT,Agarwal Float Glass India Limited
,LRRPL,Lead Reclaim And Rubber Products Limited
,SHERA,Shera Energy Limited
,GRCL,Gayatri Rubbers And Chemicals Limited
,ARISTO,Aristo Bio-Tech And Lifescience Limited
,DUCOL,Ducol Organics And Colours Limited
,CMNL,Chaman Metallics Limited
,ANLON,Anlon Technology Solutions Limited
,RBMINFRA,Rbm Infracon Limited
,HOMESFY,Homesfy Realty Limited
,MOXSH,Moxsh Overseas Educon Limited
,UMA,Uma Converter Limited
,ARIHANTACA,Arihant Academy Limited
,DOLLEX,Dollex Agrotech Limited
,ALLETEC,All E Technologies Limited
,ARHAM,Arham Technologies Limited
,BAHETI,Baheti Recycling Industries Limited
,PRITIKA,Pritika Engineering Components Limited
,AMIABLE,Amiable Logistics (India) Limited
,VITAL,Vital Chemtech Limited
,RITEZONE,Rite Zone Chemcon India Limited
,IPSL,Integrated Personnel Services Limited
,PHANTOMFX,Phantom Digital Effects Limited
,FROG,Frog Innovations Limited
,SWASTIK,Swastik Pipe Limited
,QMSMEDI,QMS Medical Allied Services Limited
,LLOYDS,Lloyds Luxuries Limited
,CMRSL,Cyber Media Research & Services Limited
,KANDARP,Kandarp Digi Smart BPO Limited
,MAKS,Maks Energy Solutions India Limited
,ANNAPURNA,Annapurna Swadisht Limited
,ISHAN,Ishan International Limited
,TAPIFRUIT,Tapi Fruit Processing Limited
,SABAR,Sabar Flex India Limited
,MEGAFLEX,Mega Flex Plastics Limited
,VIVIANA,Viviana Power Tech Limited
,KORE,Jay Jalaram Technologies Limited
,JFLLIFE,Jfl Life Sciences Limited
,AMEYA,Ameya Precision Engineers Limited
,VEEKAYEM,Veekayem Fashion and Apparels Limited
,USASEEDS,Upsurge Seeds Of Agriculture Limited
,AGNI,Agni Green Power Limited
,SKP,SKP Bearing Industries Limited
,KCK,Kck Industries Limited
,RILINFRA,Rachana Infrastructure Limited
,FIDEL,Fidel Softech Limited
,GSTL,Globesecure Technologies Limited
,SONUINFRA,Sonu Infratech Limited
,PROPEQUITY,P. E. Analytics Limited
,SWARAJ,Swaraj Suiting Limited
,COOLCAPS,Cool Caps Industries Limited
,SPRL,Sp Refractories Limited
,SHIGAN,Shigan Quantum Technologies Limited
,MADHAVBAUG,Vaidya Sane Ayurved Laboratories Limited
,RICHA,Richa Info Systems Limited
,PRECISION,Precision Metaliks Limited
,TIMESCAN,Timescan Logistics (India) Limited
,VIVO,Vivo Collaboration Solutions Limited
,FOCE,Foce India Limited
,NIDAN,Nidan Laboratories and Healthcare Limited
,KOTYARK,Kotyark Industries Limited
,DKEGL,D.K. Enterprises Global Limited
,DESTINY,Destiny Logistics & Infra Limited
,DYNAMIC,Dynamic Services & Security Limited
,BMETRICS,Bombay Metrics Supply Chain Limited
,JAINAM,Jainam Ferro Alloys (I) Limited
,QUADPRO,Quadpro Ites Limited
,BEWLTD,BEW Engineering Limited
,DUGLOBAL,DUDIGITAL GLOBAL LIMITED
,REXPIPES,Rex Pipes And Cables Industries Limited
,WALPAR,Walpar Nutritions Limited
,AILIMITED,Abhishek Integrations Limited
,VMARCIND,V Marc India Limited
,SIDDHIKA,Siddhika Coatings Limited
,PARTYCRUS,Party Cruisers Limited
,ASCOM,Ascom Leasing & Investments Limited
,GOLDKART,Goldkart Jewels Limited
,SECL,Salasar Exteriors and Contour Limited
,KHFM,Khfm Hospitality And Facility Management Services Limited
,MINDPOOL,Mindpool Technologies Limited
,SURANI,Surani Steel Tubes Limited
,DRSDILIP,DRS Dilip Roadlines Limited
,SHUBHLAXMI,Shubhlaxmi Jewel Art Limited
,UWCSL,Ultra Wiring Connectivity System Limited
,PARIN,Parin Enterprises Limited
,UCL,Ushanti Colour Chem Limited
,AMBANIORGO,AMBANI ORGOCHEM LIMITED
,JAKHARIA,JAKHARIA FABRIC LIMITED
,MAHICKRA,Mahickra Chemicals Limited
,VERA,Vera Synthetic Limited
,CONTI,Continental Seeds and Chemicals Limited
,GIRIRAJ,Giriraj Civil Developers Limited
,MDL,Marvel Decor Limited
,MHHL,Mohini Health & Hygiene Limited
,PARAMPARA,PARAMPARA DAIRY DELIGHTS LIMITED
,VASA,Vasa Retail and Overseas Ltd
,SMVD,SMVD Poly Pack Limited
,FELIX,Felix Industries Limited
,PULZ,Pulz Electronics Limited
,AISL,ANI Integrated Services Limited
,MILTON,Milton Industries Limited
,OMFURN,Omfurn India Limited
,GOLDSTAR,Goldstar Power Limited
,TIRUPATI,Shree Tirupati Balajee FIBC Limited
,CADSYS,Cadsys (India) Limited
,MPTODAY,Madhya Pradesh Today Media Limited
,MANAV,Manav Infra Projects Limited
,TRANSWIND,Transwind Infrastructures Limited
,ACCORD,Accord Synergy Limited
,VSCL,Vadivarhe Speciality Chemicals Limited
,JALAN,Jalan Transolutions (India) Limited
,ASLIND,ASL Industries Limited
,PROLIFE,Prolife Industries Limited
,GICL,Globe International Carriers Limited
,DIRL,Dhanuka Infra Realty Limited
,ALCODIS,Alcokraft Distilleries Limited
,GRETEX,Gretex Industries Limited
,JETKNIT,Jet Knitwears Limited
,AVSL,AVSL Industries Limited
,KKVAPOW,KKV Agro Powers Limited
,PERFECT,Perfect Infraengineers Limited
,AHIMSA,Ahimsa Industries Limited
,SHAIVAL,Shaival Reality Limited
,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited
